event_sequence,event_type,query_id_internal,checked_at_utc,billing_period_start,billing_period_end,credits_included,credits_used,baseline_credits_used,pilot_consumed,remaining_included_credits,remaining_pilot_budget,usage_endpoint_credit_cost
1,PRE_FIRST_EXECUTION,,2026-07-29T17:25:28.644661+00:00,2026-07-29,2026-08-12,2500.0,0.0,0.0,0.0,2500.0,500.0,0
2,PRE_EXECUTION,bitcoin_2022_03,2026-07-29T17:25:29.637719+00:00,2026-07-29,2026-08-12,2500.0,0.0,0.0,0.0,2500.0,500.0,0
3,POST_EXECUTION_ERROR,bitcoin_2022_03,2026-07-29T17:25:30.226911+00:00,2026-07-29,2026-08-12,2500.0,0.0,0.0,0.0,2500.0,500.0,0
4,PRE_EXECUTION,ethereum_2022_03,2026-07-29T17:25:31.508936+00:00,2026-07-29,2026-08-12,2500.0,0.0,0.0,0.0,2500.0,500.0,0
5,POST_EXECUTION_ERROR,ethereum_2022_03,2026-07-29T17:25:32.090282+00:00,2026-07-29,2026-08-12,2500.0,0.0,0.0,0.0,2500.0,500.0,0
6,FINAL,,2026-07-29T17:25:32.389714+00:00,2026-07-29,2026-08-12,2500.0,0.0,0.0,0.0,2500.0,500.0,0
